Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Azmatullah Omarzai,2.0,2.0,1.0,11.0,8.0,11.0,10.0,110.0,0.0,0.0,0.0,1.0,0.0
Mehidy Hasan Miraz,1.0,1.0,0.0,11.0,11.0,11.0,13.0,84.61,0.0,0.0,0.0,0.0,0.0
M Theekshana,8.0,3.0,2.0,11.0,11.0,11.0,14.0,78.57,0.0,0.0,1.0,0.0,1.0
Haris Rauf,7.0,3.0,2.0,10.0,6.0,10.0,7.0,142.85,0.0,0.0,0.0,0.0,1.0
PD Salt,2.0,1.0,0.0,10.0,10.0,10.0,9.0,111.11,0.0,0.0,0.0,2.0,0.0
K Rabada,5.0,2.0,1.0,10.0,9.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0
FJ Klaassen,8.0,4.0,1.0,10.0,7.0,3.33,11.0,90.9,0.0,0.0,2.0,0.0,0.0
Mustafizur Rahman,5.0,2.0,2.0,9.0,9.0,0.0,4.0,225.0,0.0,0.0,0.0,0.0,1.0
RR Pant,2.0,2.0,0.0,9.0,6.0,4.5,9.0,100.0,0.0,0.0,0.0,1.0,0.0
AR Patel,5.0,3.0,1.0,9.0,7.0,4.5,9.0,100.0,0.0,0.0,0.0,1.0,0.0
D la Cock,2.0,2.0,0.0,9.0,9.0,4.5,11.0,81.81,0.0,0.0,1.0,1.0,0.0
PVD Chameera,2.0,2.0,1.0,9.0,8.0,9.0,16.0,56.25,0.0,0.0,0.0,0.0,0.0
CAK Rajitha,3.0,1.0,1.0,8.0,8.0,0.0,21.0,38.09,0.0,0.0,0.0,0.0,0.0
